Payout Date,,,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,,Category,,
Camo Long Sleeve,Long Sleeves,07-07-2025,16632,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K Juicy Zip Up Green,Hoodies,07-08-2025,16679,$50.00,75.00%,$50.00,,$37.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCBG MAXAZRIA Zip-Up,Hoodies,07-09-2025,16699,$35.00,75.00%,$35.00,,$26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juicy Couture Zip Up Green,Hoodies,07-10-2025,16747,$80.00,75.00%,$80.00,,$60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K Dragon T shirt,Tees,07-10-2025,16768,$30.00,75.00%,$30.00,,$22.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Floral Slip Dress,Lingerie,07-11-2025,16795,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Mexico Jersey,Sportswear,07-11-2025,16801,$35.00,75.00%,$35.00,,$26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floral top,Blouses,07-12-2025,16829,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown standard tradition 77 hoodie,Hoodies,07-12-2025,16845,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K KikWear Rave Shirt,Tees,07-16-2025,17009,$60.00,75.00%,$60.00,,$45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K Yellow Grunge Top,Tees,07-16-2025,17021,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K Billabong Shirt,Tees,07-16-2025,17035,$45.00,75.00%,$45.00,,$33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTG Leather Aviator Jacket,Jackets,07-17-2025,17045,$140.00,75.00%,$140.00,,$105.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K Navy Juicy Couture Zip-Up,Hoodies,07-18-2025,17072,$55.00,75.00%,$55.00,,$41.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Slip Top,Lingerie,07-19-2025,17139,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Long Sleeve,Long Sleeves,07-19-2025,17172,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Me Jeans,Jeans ,07-19-2025,17190,$45.00,75.00%,$45.00,,$33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley Davidson T-Shirt,Tees,07-19-2025,17200,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroon Top,Tees,07-19-2025,17220,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affliction Style Rhinestone Long Sleeve,Long Sleeves,07-20-2025,17233,$35.00,75.00%,$35.00,,$26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey Lingerie Dress,Lingerie,07-20-2025,17265,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 Giants World Series,Tees,07-21-2025,17329,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affliction Grunge Style Long Sleeve,Long Sleeves,07-22-2025,17367,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nike San Francisco Giants,Tees,07-23-2025,17381,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Secret Floral Corset Top,Lingerie,07-23-2025,17398,$35.00,75.00%,$35.00,,$26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49ers Tommy Bahama,Tees,07-29-2025,17678,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Corset Top,Lingerie,07-31-2025,17741,$35.00,75.00%,$35.00,,$26.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco Giants Posey T-Shirt,Tees,07-31-2025,17758,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,"$1,295.00",38,$34.08,,$671.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-31-2025,,,Annie Zhou,Deisy Mora - 02A,Print List,$646.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal keychain,Keychains,07-02-2025,16437,$16.99,75.00%,$16.99,,$12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-02-2025,16438,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-02-2025,16438,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-02-2025,16439,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-03-2025,16462,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal keychain,Keychains,07-03-2025,16463,$16.99,75.00%,$16.99,,$12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed cup no charm,Tumblers,07-03-2025,16495,$23.99,75.00%,$23.99,,$17.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-04-2025,16521,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-04-2025,16521,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-04-2025,16521,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-05-2025,16558,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-06-2025,16599,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-07-2025,16647,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-08-2025,16667,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-08-2025,16687,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-08-2025,16688,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-08-2025,16695,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-10-2025,16740,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-10-2025,16741,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-10-2025,16742,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-10-2025,16743,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-11-2025,16800,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-11-2025,16800,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-11-2025,16815,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-11-2025,16820,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-11-2025,16820,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-11-2025,16825,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-12-2025,16837,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-12-2025,16872,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny clothing,Misc. Accessories,07-13-2025,16904,$8.88,75.00%,$8.88,,$6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-13-2025,16907,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-14-2025,16956,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-14-2025,16957,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-14-2025,16963,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand charm,Phone Charms,07-15-2025,16967,$16.99,75.00%,$16.99,,$12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-15-2025,16983,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny clothing,Misc. Accessories,07-15-2025,16988,$8.88,75.00%,$8.88,,$6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-15-2025,16994,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-16-2025,17001,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-16-2025,17003,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-16-2025,17009,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-17-2025,17066,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-17-2025,17066,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charm deluxe 2,Phone Charms,07-18-2025,17068,$15.99,75.00%,$15.99,,$11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17089,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17089,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17090,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17090,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-18-2025,17107,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17107,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17107,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17114,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17120,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-18-2025,17120,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-19-2025,17162,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-19-2025,17186,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny clothing,Misc. Accessories,07-19-2025,17188,$8.88,75.00%,$8.88,,$6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny clothing,Misc. Accessories,07-20-2025,17226,$8.88,75.00%,$8.88,,$6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-20-2025,17227,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-20-2025,17245,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-20-2025,17245,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-20-2025,17247,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-20-2025,17290,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-21-2025,17331,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-22-2025,17341,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-22-2025,17363,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-23-2025,17403,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-24-2025,17408,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-24-2025,17409,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-24-2025,17416,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-24-2025,17429,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-25-2025,17445,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-25-2025,17446,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-25-2025,17450,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-25-2025,17450,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charm deluxe 2,Phone Charms,07-25-2025,17471,$15.99,75.00%,$15.99,,$11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-25-2025,17471,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charm feb,Phone Charms,07-25-2025,17482,$9.99,75.00%,$9.99,,$7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal keychain,Keychains,07-25-2025,17484,$16.99,75.00%,$16.99,,$12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-26-2025,17501,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-26-2025,17540,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-26-2025,17553,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-26-2025,17554,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-27-2025,17583,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny keychain,Keychains,07-27-2025,17588,$21.99,75.00%,$21.99,,$16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal keychain,Keychains,07-27-2025,17596,$16.99,75.00%,$16.99,,$12.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-28-2025,17639,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-28-2025,17639,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny clothing,Misc. Accessories,07-28-2025,17640,$8.88,75.00%,$8.88,,$6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-28-2025,17641,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-28-2025,17660,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deluxe keychain 2,Keychains,07-29-2025,17674,$15.99,75.00%,$15.99,,$11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-30-2025,17711,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-30-2025,17727,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shot glass,Tumblers,07-31-2025,17773,$5.99,75.00%,$5.99,,$4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$962.50,95,$10.13,,$646.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Diego Maurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Famous cool zip up,Jackets,07-26-2025,#17525,$34.00,75.00%,$34.00,,$25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Pole zip,Jackets,07-25-2025,#17454,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K skull tee,Tees,07-23-2025,#17385,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cool bay area vintage tech,Tees,07-09-2025,#16713,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Jordan jersey,Sportswear,07-05-2025,#16552,$34.00,75.00%,$34.00,,$25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Sears western pearl,Button Ups,07-04-2025,#16501,$24.00,75.00%,$24.00,,$18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realtree work jacket,Jackets,07-03-2025,#16455,$60.00,75.00%,$60.00,,$45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,$244.00,7,$34.86,,$183.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Annie Zhou,Eisenberg Samuel - 02O,Print List,$532.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt bags ed,Bags,07-05-2025,16555,$44.99,80.00%,$44.99,,$35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K shorts Ed 21,Shorts/Jorts,07-07-2025,16653,$54.99,80.00%,$54.99,,$43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt Daily Tote Ed 2,Bags,07-08-2025,16675,$69.99,80.00%,$69.99,,$55.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K pants Ed 33,Jeans ,07-10-2025,16744,$62.99,80.00%,$62.99,,$50.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work shorts Ed 25,Shorts/Jorts,07-11-2025,16817,$54.99,80.00%,$54.99,,$43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt Dk Shorts Ed 18,Shorts/Jorts,07-13-2025,16929,$54.99,80.00%,$54.99,,$43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecko baggy fit Ed 15,Shorts/Jorts,07-14-2025,16961,$64.99,80.00%,$64.99,,$51.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vtg Diesel Leather Ed 23,Jackets,07-16-2025,17036,$134.99,80.00%,$134.99,,$107.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carhart short Ed 21,Shorts/Jorts,07-19-2025,17151,$34.99,80.00%,$34.99,,$27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baggy Jort Ed 22,Shorts/Jorts,07-21-2025,17297,$54.99,80.00%,$54.99,,$43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeboy baggy Ed 16,Shorts/Jorts,07-21-2025,17297,$64.99,80.00%,$64.99,,$51.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2K shorts Ed 20,Shorts/Jorts,07-21-2025,17334,$44.99,80.00%,$44.99,,$35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biker jacket Ed 26,Jackets,07-22-2025,17358,$139.90,80.00%,$139.90,,$111.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt Dk Shorts Ed 19,Shorts/Jorts,07-23-2025,17384,$29.99,80.00%,$29.99,,$23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work pants Ed 7,Jeans ,07-26-2025,17569,$69.99,80.00%,$69.99,,$55.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carhartt Bleach DK Ed 13,Jeans ,07-31-2025,17757,$119.99,80.00%,$119.99,,$95.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,"$1,102.75",16,$68.92,,$532.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-31-2025,,,Annie Zhou,Elaine Jing Candle - 03K,Print List,$191.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 for 40 White Peony and Lychee Jelly,Candles,07-05-2025,16554,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 for $40 (yuzu & white peony),Candles,07-08-2025,16683,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 for 40 lychee and yuzu,Candles,07-10-2025,16748,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Bean - 8oz,Candles,07-16-2025,17014,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white peony  and lavendar candles,Candles,07-20-2025,17289,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Peony - 8oz,Candles,07-25-2025,17445,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 for  40 red bean and matcha,Candles,07-25-2025,17446,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 for 40 Thai Tea,Candles,07-25-2025,17483,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Tea - 8oz,Candles,07-26-2025,17536,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 for 40 osmanthus and white rabbit,Candles,07-31-2025,17766,$40.00,75.00%,$40.00,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$355.00,10,$35.50,,$191.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-31-2025,,,Annie Zhou,Elaine Li - 03L,Print List,$105.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinna IG Post Sticker,Stickers,07-01-2025,16405,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinna IG Post Sticker,Stickers,07-02-2025,16432,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hangyodon,Stickers,07-02-2025,16432,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boba Kuromi Keychain,Keychains,07-02-2025,16442,$12.00,75.00%,$12.00,,$9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Flower,Stickers,07-05-2025,16578,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Ramen,Stickers,07-06-2025,16625,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco,Stickers,07-07-2025,16651,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Cinnamoroll,Stickers,07-09-2025,16706,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Ribbon,Stickers,07-10-2025,16754,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miffy IG Post Sticker,Stickers,07-10-2025,16755,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco Keychain,Keychains,07-11-2025,16791,$12.00,75.00%,$12.00,,$9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi Keychain,Keychains,07-11-2025,16791,$12.00,75.00%,$12.00,,$9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Yuki,Stickers,07-11-2025,16820,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Yuki,Stickers,07-12-2025,16882,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,Stickers,07-12-2025,16890,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi,Stickers,07-13-2025,16920,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,Stickers,07-13-2025,16920,$3.00,75.00%,$3.00,,$2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
